err sys SYSTEM LOG:
133. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:47:53  # Sonos System - Error Getting Favorites.
134. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:48:34  # Sonos System - Error Getting Favorites.
135. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:49:15  # Sonos System - Error Getting Favorites.
136. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:49:56  # Sonos System - Error Getting Favorites.
137. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:50:37  # Sonos System - Error Getting Favorites.
138. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:51:18  # Sonos System - Error Getting Favorites.
139. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:51:59  # Sonos System - Error Getting Favorites.
140. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:52:40  # Sonos System - Error Getting Favorites.
141. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:53:21  # Sonos System - Error Getting Favorites.
142. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:54:02  # Sonos System - Error Getting Favorites.
143. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:54:43  # Sonos System - Error Getting Favorites.
144. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:55:24  # Sonos System - Error Getting Favorites.
145. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:56:05  # Sonos System - Error Getting Favorites.
146. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:56:46  # Sonos System - Error Getting Favorites.
147. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:57:27  # Sonos System - Error Getting Favorites.
148. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:58:08  # Sonos System - Error Getting Favorites.
149. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:58:49  # Sonos System - Error Getting Favorites.
150. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:59:30  # Sonos System - Error Getting Favorites.
151. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:00:11  # Sonos System - Error Getting Favorites.
152. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:00:52  # Sonos System - Error Getting Favorites.
153. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:01:33  # Sonos System - Error Getting Favorites.
154. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:02:14  # Sonos System - Error Getting Favorites.
155. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:02:55  # Sonos System - Error Getting Favorites.
156. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:03:36  # Sonos System - Error Getting Favorites.
157. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:04:17  # Sonos System - Error Getting Favorites.
158. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:04:58  # Sonos System - Error Getting Favorites.
159. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:05:39  # Sonos System - Error Getting Favorites.
